,Unnamed_ 0,PLOT_ID,LON,LAT,CLASS,MONTH,ACTUAL,CLASS_WET,CLEAR_OBS,PREDICTION,STARTDATE,ENDDATE,geometry,index_right,ID,CODE,COUNTRY
2797,733,137387095.0,38.96916733,8.767068731,Open water - freshwater,2,1,1.0,5.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2798,734,137387095.0,38.96916733,8.767068731,Open water - freshwater,3,1,1.0,5.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2799,735,137387095.0,38.96916733,8.767068731,Open water - freshwater,7,1,1.0,1.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2800,736,137387095.0,38.96916733,8.767068731,Open water - freshwater,9,1,1.0,2.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2801,737,137387095.0,38.96916733,8.767068731,Open water - freshwater,10,1,1.0,6.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2802,738,137387095.0,38.96916733,8.767068731,Open water - freshwater,12,1,1.0,5.0,1,,,POINT (3759990.00014646 1114200.000050636),0,,,Eastern
2803,749,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),1,0,0.0,6.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2804,750,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),2,0,0.0,4.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2805,751,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),3,0,0.0,5.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2806,752,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),4,0,0.0,2.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2807,753,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),5,0,0.0,4.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2808,754,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),6,0,0.0,1.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2809,757,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),9,0,0.0,4.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2810,758,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),10,0,0.0,5.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2811,759,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),11,0,0.0,5.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2812,760,137387096.0,37.82651783,8.558279954,Cultivated (Cropland/ Plantation),12,0,0.0,5.0,0,,,POINT (3649740.000260914 1087859.999961269),0,,,Eastern
2813,761,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,1,1,1.0,5.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2814,762,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,2,1,1.0,5.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2815,763,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,3,1,1.0,2.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2816,764,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,4,1,1.0,2.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2817,765,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,5,1,1.0,2.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2818,767,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,7,1,1.0,1.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2819,768,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,8,1,1.0,2.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2820,769,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,9,1,1.0,4.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2821,770,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,10,1,1.0,5.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2822,771,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,11,1,1.0,6.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2823,772,137387097.0,39.1476383,8.469376607000001,Open water - freshwater,12,1,1.0,5.0,1,,,POINT (3777210.00017453 1076639.999978751),0,,,Eastern
2824,773,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,1,0,0.0,7.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2825,774,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,2,0,0.0,3.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2826,775,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,3,0,0.0,2.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2827,776,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,5,0,0.0,4.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2828,777,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,6,0,0.0,2.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2829,778,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,7,0,0.0,5.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2830,779,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,8,0,0.0,4.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2831,780,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,9,0,0.0,5.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2832,781,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,10,0,0.0,2.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2833,782,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,11,0,0.0,3.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2834,783,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,12,0,0.0,6.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
2835,784,137387098.0,40.98551618,8.375265444,Herbaceous/Grassland,4,1,0.0,5.0,0,,,POINT (3954540.000371134 1064759.999983125),0,,,Eastern
